Timestamp,EventID,Username,SourceIP,Description
2026-07-14 08:00:01,4624,jlopez,192.168.1.10,Successful Logon
2026-07-14 08:05:22,4624,mquintero,192.168.1.25,Successful Logon
2026-07-14 08:10:44,4688,mquintero,192.168.1.25,cmd.exe executed
2026-07-14 08:12:15,4625,administrator,203.0.113.50,Failed Logon
2026-07-14 08:12:40,4625,administrator,203.0.113.50,Failed Logon
2026-07-14 08:13:02,4625,administrator,203.0.113.50,Failed Logon
2026-07-14 08:13:30,4625,administrator,203.0.113.50,Failed Logon
2026-07-14 08:14:10,4625,administrator,203.0.113.50,Failed Logon
2026-07-14 08:14:42,4625,administrator,203.0.113.50,Failed Logon
2026-07-14 08:15:01,4624,administrator,203.0.113.50,Successful Logon
2026-07-14 08:15:12,4672,administrator,203.0.113.50,Special Privileges Assigned
2026-07-14 08:15:40,4688,administrator,203.0.113.50,powershell.exe executed
2026-07-14 08:16:10,4728,administrator,203.0.113.50,User added to Administrators group
2026-07-14 08:20:00,4624,agarcia,192.168.1.45,Successful Logon
2026-07-14 08:21:32,4688,agarcia,192.168.1.45,explorer.exe executed
2026-07-14 08:23:01,4625,testuser,198.51.100.20,Failed Logon
2026-07-14 08:24:18,4625,testuser,198.51.100.20,Failed Logon
2026-07-14 08:25:40,4624,testuser,198.51.100.20,Successful Logon
2026-07-14 08:27:11,4688,testuser,198.51.100.20,notepad.exe executed
2026-07-14 08:30:20,4624,jsmith,192.168.1.60,Successful Logon
2026-07-14 08:32:00,4688,jsmith,192.168.1.60,chrome.exe executed
2026-07-14 08:35:42,4624,backupsvc,192.168.1.5,Scheduled Backup Logon
2026-07-14 08:40:01,4688,backupsvc,192.168.1.5,backup.exe executed
2026-07-14 08:45:16,4625,guest,45.33.10.8,Failed Logon
2026-07-14 08:45:48,4625,guest,45.33.10.8,Failed Logon
2026-07-14 08:46:15,4625,guest,45.33.10.8,Failed Logon
2026-07-14 08:46:44,4625,guest,45.33.10.8,Failed Logon
2026-07-14 08:47:05,4625,guest,45.33.10.8,Failed Logon
2026-07-14 08:48:12,4624,guest,45.33.10.8,Successful Logon
2026-07-14 08:50:00,4688,guest,45.33.10.8,cmd.exe executed
